2026-03-13 14:59:14 | INFO | app.api | [request:49e1eb5f] started GET /docs
2026-03-13 14:59:14 | INFO | app.api | [request:49e1eb5f] completed GET /docs status=200 duration_ms=2.27
2026-03-13 14:59:15 | INFO | app.api | [request:14221a0b] started GET /openapi.json
2026-03-13 14:59:16 | INFO | app.api | [request:14221a0b] completed GET /openapi.json status=200 duration_ms=75.72
2026-03-13 15:00:09 | INFO | app.api | [request:c1fe0ad4] started POST /api/v1/chat/upload
2026-03-13 15:00:09 | INFO | app.api | upload received: filename=Sample - Superstore.csv session_id=string
2026-03-13 15:00:09 | INFO | app.api | upload processed: session_id=string dataset_path=data\uploads\string\Sample - Superstore.csv summary=Uploaded Sample - Superstore.csv with 9994 rows and 21 columns. Columns: Row ID, Order ID, Order Date, Ship Date, Ship Mode, Customer ID, Customer Name, Segment, Country, City, State, Postal Code, Region, Product ID, Category, Sub-Category, Product Name, Sales, Quantity, Discount, Profit.
2026-03-13 15:00:09 | INFO | app.api | [request:c1fe0ad4] completed POST /api/v1/chat/upload status=200 duration_ms=210.45
2026-03-13 16:26:41 | INFO | app.api | [request:594786b6] started POST /api/v1/chat/message
2026-03-13 16:26:41 | INFO | app.api | [run:346a9bc352] chat message received session_id=1gdg
2026-03-13 16:26:41 | WARNING | app.api | [run:346a9bc352] unknown session_id=1gdg
2026-03-13 16:26:41 | INFO | app.api | [request:594786b6] completed POST /api/v1/chat/message status=404 duration_ms=17.45
2026-03-13 19:09:19 | INFO | app.services.chat_session_service | ChatSessionService connected to MongoDB db=agent-orc collection=chat_sessions
2026-03-13 19:09:52 | INFO | app.api | [request:de39737a] started POST /api/v1/chat/session
2026-03-13 19:09:52 | INFO | app.api | [request:de39737a] completed POST /api/v1/chat/session status=200 duration_ms=27.80
2026-03-13 19:09:52 | INFO | app.api | [request:b90e5f2b] started GET /api/v1/chat/sessions
2026-03-13 19:09:53 | INFO | app.api | [request:b90e5f2b] completed GET /api/v1/chat/sessions status=200 duration_ms=274.97
2026-03-13 19:09:58 | INFO | app.api | [request:ad4a1478] started POST /api/v1/chat/message
2026-03-13 19:09:58 | INFO | app.api | [run:68c4aca358] chat message received session_id=5bd84e91-d330-43f4-bab1-b61b38cbe531
2026-03-13 19:09:58 | INFO | app.services.analysis_service | [run:68c4aca358] analysis started dry_run=False
2026-03-13 19:09:58 | INFO | app.services.analysis_service | [run:68c4aca358] building LLM client provider=gradient model=openai-gpt-oss-120b
2026-03-13 19:09:58 | INFO | app.services.llm_service | LLMService using DigitalOcean Gradient base=https://inference.do-ai.run/v1/ model=openai-gpt-oss-120b
2026-03-13 19:10:08 | INFO | app.services.workflow_service | workflow mode=supervisor workers=['data_cleaning_agent', 'feature_analysis_agent', 'insight_generation_agent', 'recommendation_agent', 'visualization_agent']
2026-03-13 19:10:14 | INFO | httpx | HTTP Request: POST https://inference.do-ai.run/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-13 19:10:21 | INFO | httpx | HTTP Request: POST https://inference.do-ai.run/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-13 19:10:21 | INFO | app.services.workflow_service | [run:68c4aca358] supervisor finalized report
2026-03-13 19:10:21 | INFO | app.services.analysis_service | [run:68c4aca358] analysis finished in 22825.89 ms
2026-03-13 19:10:21 | INFO | app.api | [run:68c4aca358] workflow completed agent_steps=2 reply_chars=7660
2026-03-13 19:10:21 | INFO | app.api | [request:ad4a1478] completed POST /api/v1/chat/message status=200 duration_ms=23343.91
2026-03-13 19:10:21 | INFO | app.api | [request:a68c4647] started GET /api/v1/chat/sessions
2026-03-13 19:10:22 | INFO | app.api | [request:a68c4647] completed GET /api/v1/chat/sessions status=200 duration_ms=141.94
2026-03-13 19:15:11 | INFO | app.api | [request:0fc532b5] started GET /api/v1/chat/sessions
2026-03-13 19:15:11 | INFO | app.api | [request:0fc532b5] completed GET /api/v1/chat/sessions status=200 duration_ms=278.64
2026-03-13 19:15:15 | INFO | app.api | [request:d2d4bb97] started GET /api/v1/chat/session/5bd84e91-d330-43f4-bab1-b61b38cbe531
2026-03-13 19:15:15 | INFO | app.api | [request:d2d4bb97] completed GET /api/v1/chat/session/5bd84e91-d330-43f4-bab1-b61b38cbe531 status=200 duration_ms=17.43
2026-03-13 19:18:06 | INFO | app.api | [request:d30afd23] started GET /api/v1/chat/sessions
2026-03-13 19:18:06 | INFO | app.api | [request:d30afd23] completed GET /api/v1/chat/sessions status=200 duration_ms=90.54
2026-03-13 19:18:06 | INFO | app.api | [request:057674e5] started GET /api/v1/chat/session/5bd84e91-d330-43f4-bab1-b61b38cbe531
2026-03-13 19:18:06 | INFO | app.api | [request:057674e5] completed GET /api/v1/chat/session/5bd84e91-d330-43f4-bab1-b61b38cbe531 status=200 duration_ms=13.10
2026-03-13 19:18:20 | INFO | app.api | [request:c3413bb9] started POST /api/v1/chat/session
2026-03-13 19:18:20 | INFO | app.api | [request:c3413bb9] completed POST /api/v1/chat/session status=200 duration_ms=31.82
2026-03-13 19:18:20 | INFO | app.api | [request:e0be89a3] started GET /api/v1/chat/sessions
2026-03-13 19:18:20 | INFO | app.api | [request:e0be89a3] completed GET /api/v1/chat/sessions status=200 duration_ms=13.32
2026-03-13 19:18:28 | INFO | app.api | [request:1719c5b1] started POST /api/v1/chat/upload
2026-03-13 19:18:28 | INFO | app.api | upload received: filename=Sample - Superstore.csv session_id=9c0f607a-4312-4430-aaac-271b09fdd1c1
